X1,X2,Y
60,58,0
32,75,1
98,23,0
96,8,0
94,94,0
69,80,0
12,15,1
61,1,0
9,35,1
29,10,1
9,35,1
73,72,0
89,96,0
83,55,0
30,30,1
38,35,1
86,24,0
84,47,0
34,4,1
47,87,1
49,55,1
38,53,1
46,75,1
42,35,1
52,36,0
47,26,1
23,93,1
6,71,1
65,71,0
34,23,1
3,79,1
49,94,1
7,5,1
89,22,0
68,59,0
60,80,0
23,4,1
68,24,0
44,83,1
10,73,1
2,40,1
27,92,1
24,75,1
94,44,0
3,63,1
65,95,0
78,73,0
11,89,1
78,67,0
98,19,0
74,37,0
18,9,1
5,50,1
32,43,1
1,96,1
76,23,0
19,3,1
83,32,0
31,50,1
70,47,0
89,77,0
98,13,0
12,28,1
86,5,0
44,59,1
8,82,1
12,63,1
51,35,0
66,100,0
40,58,1
12,10,1
15,32,1
59,37,0
8,2,1
27,68,1
19,44,1
94,32,0
14,28,1
0,40,1
15,93,1
64,12,0
80,6,0
30,94,1
70,57,0
51,31,0
31,55,1
1,7,1
85,46,0
73,80,0
97,70,0
91,59,0
73,34,0
0,74,1
47,88,1
78,12,0
16,54,1
97,14,0
59,3,0
24,64,1
50,80,0
